Channel index,Channel reference energy (keV),Channel synthetic energy (keV),Simulated intensity,Detected intensity,E_Net peak 0,P_B (continuum),P_B_pm_avg (continuum)
971,18.9648,18.9648,0,1.00406,0,0.999651,0.949219
972,18.9844,18.9844,0,0.985418,0,0.999666,0.950195
973,19.0039,19.0039,0,0.966879,0,0.999681,0.951172
974,19.0234,19.0234,0,0.9484,0,0.999696,0.952148
975,19.043,19.043,0,0.929932,0,0.99971,0.953125
976,19.0625,19.0625,0,0.911422,0,0.999724,0.954102
977,19.082,19.082,0,0.892813,0,0.999738,0.955078
978,19.1016,19.1016,0,0.87404,0,0.999751,0.956055
979,19.1211,19.1211,0,0.855041,0,0.999765,0.957031
980,19.1406,19.1406,0,0.835751,0,0.999778,0.958008
981,19.1602,19.1602,0,0.816114,0,0.99979,0.958984
982,19.1797,19.1797,0,0.796079,0,0.999803,0.959961
983,19.1992,19.1992,0,0.775611,0,0.999815,0.960938
984,19.2188,19.2188,0,0.754692,0,0.999827,0.961914
985,19.2383,19.2383,0,0.733324,0,0.999838,0.962891
986,19.2578,19.2578,0,0.71153,0,0.999849,0.963867
987,19.2773,19.2773,0,0.68935,0,0.99986,0.964844
988,19.2969,19.2969,0,0.666839,0,0.99987,0.96582
989,19.3164,19.3164,0,0.644064,0,0.99988,0.966797
990,19.3359,19.3359,0,0.621097,0,0.99989,0.967773
991,19.3555,19.3555,0,0.598017,0,0.999899,0.96875
992,19.375,19.375,0,0.574903,0,0.999908,0.969727
993,19.3945,19.3945,0,0.551597,0,0.999917,0.970703
994,19.4141,19.4141,0,0.528251,0,0.999925,0.97168
995,19.4336,19.4336,0,0.504841,0,0.999932,0.972656
996,19.4531,19.4531,0,0.481303,0,0.99994,0.973633
997,19.4727,19.4727,0,0.457522,0,0.999947,0.974609
998,19.4922,19.4922,0,0.433334,0,0.999954,0.975586
999,19.5117,19.5117,0,0.408536,0,0.99996,0.976563
1000,19.5313,19.5313,0,0.382909,0,0.999966,0.977539
1001,19.5508,19.5508,0,0.356255,0,0.999972,0.978516
1002,19.5703,19.5703,0,0.328441,0,0.999977,0.979492
1003,19.5898,19.5898,0,0.299451,0,0.999982,0.980469
1004,19.6094,19.6094,0,0.269431,0,0.999987,0.981445
1005,19.6289,19.6289,0,0.238708,0,0.999992,0.982422
1006,19.6484,19.6484,0,0.207792,0,0.999996,0.983398
1007,19.668,19.668,0,0.177339,0,1,0.984375
1008,19.6875,19.6875,0,0.148081,0,1,0.985352
1009,19.707,19.707,0,0.120748,0,1,0.986328
1010,19.7266,19.7266,0,0.0959769,0,1,0.987305
