Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
88.1125, 26.5599, 0, 26.5599
88.1175, 26.5567, 0, 26.5567
88.1225, 26.5534, 0, 26.5534
88.1275, 26.5502, 0, 26.5502
88.1325, 26.547, 0, 26.547
88.1375, 26.5438, 0, 26.5438
88.1425, 26.5406, 0, 26.5406
88.1475, 26.5374, 0, 26.5374
88.1525, 26.5342, 0, 26.5342
88.1575, 26.531, 0, 26.531
88.1625, 26.5278, 0, 26.5278
88.1675, 26.5246, 0, 26.5246
88.1725, 26.5214, 0, 26.5214
88.1775, 26.5182, 0, 26.5182
88.1825, 26.515, 0, 26.515
88.1875, 26.5118, 0, 26.5118
88.1925, 26.5086, 0, 26.5086
88.1975, 26.5054, 0, 26.5054
88.2025, 26.5022, 0, 26.5022
88.2075, 26.499, 0, 26.499
88.2125, 26.4958, 0, 26.4958
88.2175, 26.4926, 0, 26.4926
88.2225, 26.4894, 0, 26.4894
88.2275, 26.4862, 0, 26.4862
88.2325, 26.483, 0, 26.483
88.2375, 26.4798, 0, 26.4798
88.2425, 26.4766, 0, 26.4766
88.2475, 26.4734, 0, 26.4734
88.2525, 26.4702, 0, 26.4702
88.2575, 26.467, 0, 26.467
88.2625, 26.4638, 0, 26.4638
88.2675, 26.4606, 0, 26.4606
88.2725, 26.4574, 0, 26.4574
88.2775, 26.4542, 0, 26.4542
88.2825, 26.451, 0, 26.451
88.2875, 26.4478, 0, 26.4478
88.2925, 26.4446, 0, 26.4446
88.2975, 26.4414, 0, 26.4414
88.3025, 26.4382, 0, 26.4382
88.3075, 26.435, 0, 26.435
88.3125, 26.4318, 0, 26.4318
88.3175, 26.4286, 0, 26.4286
88.3225, 26.4254, 0, 26.4254
88.3275, 26.4222, 0, 26.4222
88.3325, 26.419, 0, 26.419
88.3375, 26.4158, 0, 26.4158
88.3425, 26.4126, 0, 26.4126
88.3475, 26.4094, 0, 26.4094
88.3525, 26.4062, 0, 26.4062
88.3575, 26.403, 0, 26.403
88.3625, 26.3998, 0, 26.3998
88.3675, 26.3966, 0, 26.3966
88.3725, 26.3935, 0, 26.3935
88.3775, 26.3903, 0, 26.3903
88.3825, 26.3871, 0, 26.3871
88.3875, 26.3839, 0, 26.3839
88.3925, 26.3807, 0, 26.3807
88.3975, 26.3775, 0, 26.3775
88.4025, 26.3743, 0, 26.3743
88.4075, 26.3711, 0, 26.3711
88.4125, 26.3679, 0, 26.3679
88.4175, 26.3647, 0, 26.3647
88.4225, 26.3615, 0, 26.3615
88.4275, 26.3584, 0, 26.3584
88.4325, 26.3552, 0, 26.3552
88.4375, 26.352, 0, 26.352
88.4425, 26.3488, 0, 26.3488
88.4475, 26.3456, 0, 26.3456
88.4525, 26.3424, 0, 26.3424
88.4575, 26.3392, 0, 26.3392
88.4625, 26.336, 0, 26.336
88.4675, 26.3328, 0, 26.3328
88.4725, 26.3297, 0, 26.3297
88.4775, 26.3265, 0, 26.3265
88.4825, 26.3233, 0, 26.3233
88.4875, 26.3201, 0, 26.3201
88.4925, 26.3169, 0, 26.3169
88.4975, 26.3137, 0, 26.3137
88.5025, 26.3105, 0, 26.3105
88.5075, 26.3074, 0, 26.3074
88.5125, 26.3042, 0, 26.3042
88.5175, 26.301, 0, 26.301
88.5225, 26.2978, 0, 26.2978
88.5275, 26.2946, 0, 26.2946
88.5325, 26.2914, 0, 26.2914
88.5375, 26.2883, 0, 26.2883
88.5425, 26.2851, 0, 26.2851
88.5475, 26.2819, 0, 26.2819
88.5525, 26.2787, 0, 26.2787
88.5575, 26.2755, 0, 26.2755
88.5625, 26.2724, 0, 26.2724
88.5675, 26.2692, 0, 26.2692
88.5725, 26.266, 0, 26.266
88.5775, 26.2628, 0, 26.2628
88.5825, 26.2596, 0, 26.2596
88.5875, 26.2565, 0, 26.2565
88.5925, 26.2533, 0, 26.2533
88.5975, 26.2501, 0, 26.2501
88.6025, 26.2469, 0, 26.2469
88.6075, 26.2437, 0, 26.2437
88.6125, 26.2406, 0, 26.2406
88.6175, 26.2374, 0, 26.2374
88.6225, 26.2342, 0, 26.2342
88.6275, 26.231, 0, 26.231
88.6325, 26.2279, 0, 26.2279
88.6375, 26.2247, 0, 26.2247
88.6425, 26.2215, 0, 26.2215
88.6475, 26.2183, 0, 26.2183
88.6525, 26.2151, 0, 26.2151
88.6575, 26.212, 0, 26.212
88.6625, 26.2088, 0, 26.2088
88.6675, 26.2056, 0, 26.2056
88.6725, 26.2025, 0, 26.2025
88.6775, 26.1993, 0, 26.1993
88.6825, 26.1961, 0, 26.1961
88.6875, 26.1929, 0, 26.1929
88.6925, 26.1898, 0, 26.1898
88.6975, 26.1866, 0, 26.1866
88.7025, 26.1834, 0, 26.1834
88.7075, 26.1803, 0, 26.1803
88.7125, 26.1771, 0, 26.1771
88.7175, 26.1739, 0, 26.1739
88.7225, 26.1707, 0, 26.1707
88.7275, 26.1676, 0, 26.1676
88.7325, 26.1644, 0, 26.1644
88.7375, 26.1612, 0, 26.1612
88.7425, 26.1581, 0, 26.1581
88.7475, 26.1549, 0, 26.1549
88.7525, 26.1517, 0, 26.1517
88.7575, 26.1486, 0, 26.1486
88.7625, 26.1454, 0, 26.1454
88.7675, 26.1422, 0, 26.1422
88.7725, 26.1391, 0, 26.1391
88.7775, 26.1359, 0, 26.1359
88.7825, 26.1328, 0, 26.1328
88.7875, 26.1296, 0, 26.1296
88.7925, 26.1264, 0, 26.1264
88.7975, 26.1233, 0, 26.1233
88.8025, 26.1201, 0, 26.1201
88.8075, 26.117, 0, 26.117
88.8125, 26.1138, 0, 26.1138
88.8175, 26.1106, 0, 26.1106
88.8225, 26.1075, 0, 26.1075
88.8275, 26.1043, 0, 26.1043
88.8325, 26.1012, 0, 26.1012
88.8375, 26.098, 0, 26.098
88.8425, 26.0949, 0, 26.0949
88.8475, 26.0917, 0, 26.0917
