Energy (keV), Spectra Total, Spectra Lines, Spectra Bremsstrahlung
9.4725, 1.95705, 0, 1.95705
9.4775, 1.95582, 0, 1.95582
9.4825, 1.9546, 0, 1.9546
9.4875, 1.95338, 0, 1.95338
9.4925, 1.95215, 0, 1.95215
9.4975, 1.95093, 0, 1.95093
9.5025, 1.9497, 0, 1.9497
9.5075, 1.94848, 0, 1.94848
9.5125, 1.94726, 0, 1.94726
9.5175, 1.94603, 0, 1.94603
9.5225, 1.94481, 0, 1.94481
9.5275, 1.94358, 0, 1.94358
9.5325, 1.94236, 0, 1.94236
9.5375, 1.94113, 0, 1.94113
9.5425, 1.93991, 0, 1.93991
9.5475, 1.93869, 0, 1.93869
9.5525, 1.93746, 0, 1.93746
9.5575, 1.93624, 0, 1.93624
9.5625, 1.93501, 0, 1.93501
9.5675, 1.93379, 0, 1.93379
9.5725, 1.93256, 0, 1.93256
9.5775, 1.93134, 0, 1.93134
9.5825, 1.93012, 0, 1.93012
9.5875, 1.92889, 0, 1.92889
9.5925, 1.92767, 0, 1.92767
9.5975, 1.92644, 0, 1.92644
9.6025, 1.92522, 0, 1.92522
9.6075, 1.924, 0, 1.924
9.6125, 1.92122, 0, 1.92122
9.6175, 1.91752, 0, 1.91752
9.6225, 1.91383, 0, 1.91383
9.6275, 1.91013, 0, 1.91013
9.6325, 1.90643, 0, 1.90643
9.6375, 1.90273, 0, 1.90273
9.6425, 1.89903, 0, 1.89903
9.6475, 1.89533, 0, 1.89533
9.6525, 1.89163, 0, 1.89163
9.6575, 1.88793, 0, 1.88793
9.6625, 1.88423, 0, 1.88423
9.6675, 1.88053, 0, 1.88053
9.6725, 1.87683, 0, 1.87683
9.6775, 1.87313, 0, 1.87313
9.6825, 1.86943, 0, 1.86943
9.6875, 1.86573, 0, 1.86573
9.6925, 1.86203, 0, 1.86203
9.6975, 1.85833, 0, 1.85833
9.7025, 1.85463, 0, 1.85463
9.7075, 1.85093, 0, 1.85093
9.7125, 1.84723, 0, 1.84723
9.7175, 1.84353, 0, 1.84353
9.7225, 1.83983, 0, 1.83983
9.7275, 1.83613, 0, 1.83613
9.7325, 1.83243, 0, 1.83243
9.7375, 1.82874, 0, 1.82874
9.7425, 1.82504, 0, 1.82504
9.7475, 1.82134, 0, 1.82134
9.7525, 1.81764, 0, 1.81764
9.7575, 1.81394, 0, 1.81394
9.7625, 1.81024, 0, 1.81024
9.7675, 1.7891, 0, 1.7891
9.7725, 1.7389, 0, 1.7389
9.7775, 1.68869, 0, 1.68869
9.7825, 1.63849, 0, 1.63849
9.7875, 1.58829, 0, 1.58829
9.7925, 1.53809, 0, 1.53809
9.7975, 1.48789, 0, 1.48789
9.8025, 1.43768, 0, 1.43768
9.8075, 1.38748, 0, 1.38748
9.8125, 1.33728, 0, 1.33728
9.8175, 1.28708, 0, 1.28708
9.8225, 1.23687, 0, 1.23687
9.8275, 1.18667, 0, 1.18667
9.8325, 1.13647, 0, 1.13647
9.8375, 1.08626, 0, 1.08626
