X (nm), Y (nm), Z (nm), Corrected X (nm), Corrected Y (nm), Corrected Z (nm), E (keV), DeltaE (keV), Theta (rad), Corrected Theta (rad), Phi (rad), Corrected Phi (rad)
-1.85796, -2.65588, 0, -1.85796, -2.65588, 0, 0.152096, 0.847904, 2.62433, 2.62433, 4.07354, 4.07354
-0.819323, -1.01132, 0, -0.819323, -1.01132, 0, 0.89091, 0.10909, 2.43067, 2.43067, 4.44276, 4.44276
-1.6862, -8.07631, 0, -1.6862, -8.07631, 0, 0.232801, 0.767199, 1.76377, 1.76377, 6.08703, 6.08703
-0.740876, -1.03669, 0, -0.740876, -1.03669, 0, 0.918723, 0.0812773, 1.86199, 1.86199, 4.02734, 4.02734
-1.60222, 2.01141, 0, -1.60222, 2.01141, 0, 0.750615, 0.249385, 2.77178, 2.77178, 0.419031, 0.419031
1.35541, -1.18028, 0, 1.35541, -1.18028, 0, 0.786699, 0.213301, 3.1074, 3.1074, 2.08844, 2.08844
-1.48787, 0.200129, 0, -1.48787, 0.200129, 0, 0.872242, 0.127758, 2.44449, 2.44449, 2.34056, 2.34056
0.361394, -0.104952, 0, 0.361394, -0.104952, 0, 0.971236, 0.0287637, 2.15037, 2.15037, 5.82735, 5.82735
2.31616, -2.26743, 0, 2.31616, -2.26743, 0, 0.841802, 0.158198, 1.83042, 1.83042, 5.37349, 5.37349
1.0693, -0.396348, 0, 1.0693, -0.396348, 0, 0.0783036, 0.921696, 2.05875, 2.05875, 0.308186, 0.308186
-0.911442, -1.39884, 0, -0.911442, -1.39884, 0, 0.290018, 0.709982, 2.55392, 2.55392, 1.8446, 1.8446
1.46977, 3.09027, 0, 1.46977, 3.09027, 0, 0.470197, 0.529803, 2.86931, 2.86931, 3.78646, 3.78646
-2.41259, -3.30955, 0, -2.41259, -3.30955, 0, 0.127109, 0.872891, 3.09367, 3.09367, 4.02915, 4.02915
0.0644579, 0.147011, 0, 0.0644579, 0.147011, 0, 0.896191, 0.103809, 2.35733, 2.35733, 1.83316, 1.83316
-1.88198, -1.86427, 0, -1.88198, -1.86427, 0, 0.870781, 0.129219, 1.99184, 1.99184, 3.83396, 3.83396
1.7501, 2.34201, 0, 1.7501, 2.34201, 0, 0.742775, 0.257225, 1.92939, 1.92939, 0.711041, 0.711041
0.486778, -1.48955, 0, 0.486778, -1.48955, 0, 0.306734, 0.693266, 2.6087, 2.6087, 3.65677, 3.65677
0.912023, -1.99412, 0, 0.912023, -1.99412, 0, 0.71309, 0.28691, 2.26915, 2.26915, 0.597233, 0.597233
3.1964, 1.07266, 0, 3.1964, 1.07266, 0, 0.374411, 0.625589, 1.91563, 1.91563, 5.96136, 5.96136
2.4994, 0.0348365, 5.55112e-018, 2.4994, 0.0348365, 5.55112e-018, 0.360855, 0.639145, 2.30465, 2.30465, 0.0208449, 0.0208449
2.26406, -1.39644, 0, 2.26406, -1.39644, 0, 0.709714, 0.290286, 2.84892, 2.84892, 4.27427, 4.27427
0.211902, -0.702893, 0, 0.211902, -0.702893, 0, 0.899008, 0.100992, 1.82388, 1.82388, 3.89595, 3.89595
0.505645, -9.64196, 0, 0.505645, -9.64196, 0, 0.403481, 0.596519, 2.14412, 2.14412, 4.71599, 4.71599
2.00808, -0.308451, 0, 2.00808, -0.308451, 0, 0.862528, 0.137472, 2.2816, 2.2816, 0.364594, 0.364594
3.3462, -5.09339, 0, 3.3462, -5.09339, 0, 0.381713, 0.618287, 1.72133, 1.72133, 4.6727, 4.6727
3.35993, 4.33555, 0, 3.35993, 4.33555, 0, 0.528892, 0.471108, 2.76981, 2.76981, 2.168, 2.168
-0.610927, 0.0897131, 0, -0.610927, 0.0897131, 0, 0.901911, 0.0980892, 2.30427, 2.30427, 0.441259, 0.441259
0.0755862, 0.14813, 0, 0.0755862, 0.14813, 0, 0.98156, 0.01844, 2.3778, 2.3778, 1.08962, 1.08962
0.682087, -0.805004, 0, 0.682087, -0.805004, 0, 0.887377, 0.112623, 2.37982, 2.37982, 5.56326, 5.56326
-0.30652, 0.705578, 0, -0.30652, 0.705578, 0, 0.938649, 0.0613511, 2.18269, 2.18269, 1.90199, 1.90199
-1.54079, -7.179, 0, -1.54079, -7.179, 0, 0.416763, 0.583237, 2.49712, 2.49712, 0.543779, 0.543779
-2.88179, 1.97549, 4.44089e-017, -2.88179, 1.97549, 4.44089e-017, 0.383524, 0.616476, 2.29162, 2.29162, 1.75801, 1.75801
-0.667352, -4.04728, 0, -0.667352, -4.04728, 0, 0.301139, 0.698861, 2.79149, 2.79149, 1.46242, 1.46242
0.630433, -0.269871, 0, 0.630433, -0.269871, 0, 0.912429, 0.0875714, 2.57344, 2.57344, 5.78127, 5.78127
0.51892, 2.22307, 0, 0.51892, 2.22307, 0, 0.705063, 0.294937, 2.15594, 2.15594, 0.663248, 0.663248
-0.369413, 3.44572, 0, -0.369413, 3.44572, 0, 0.449301, 0.550699, 1.94593, 1.94593, 3.47009, 3.47009
0.0596014, -0.308982, 0, 0.0596014, -0.308982, 0, 0.968212, 0.0317876, 2.39314, 2.39314, 4.86126, 4.86126
0.57178, -1.15555, 0, 0.57178, -1.15555, 0, 0.765037, 0.234963, 3.0612, 3.0612, 4.42465, 4.42465
5.76754, -0.503509, 0, 5.76754, -0.503509, 0, 0.364554, 0.635446, 2.18772, 2.18772, 2.54384, 2.54384
1.20723, -3.84273, 0, 1.20723, -3.84273, 0, 0.0758952, 0.924105, 2.8591, 2.8591, 2.4861, 2.4861
-2.01024, -2.61456, 0, -2.01024, -2.61456, 0, 0.121665, 0.878335, 1.83898, 1.83898, 2.44116, 2.44116
1.41228, 1.19284, 0, 1.41228, 1.19284, 0, 0.780678, 0.219322, 2.49202, 2.49202, 0.13919, 0.13919
-1.24709, -0.896258, 0, -1.24709, -0.896258, 0, 0.494753, 0.505247, 2.36285, 2.36285, 5.98174, 5.98174
1.45513, -0.0307831, 0, 1.45513, -0.0307831, 0, 0.476652, 0.523348, 2.73673, 2.73673, 3.16487, 3.16487
-2.49619, 3.37652, 2.22045e-017, -2.49619, 3.37652, 2.22045e-017, 0.569964, 0.430036, 2.71153, 2.71153, 2.79093, 2.79093
0.566426, -0.613453, 0, 0.566426, -0.613453, 0, 0.629428, 0.370572, 2.79471, 2.79471, 0.924772, 0.924772
1.25815, 2.15698, 0, 1.25815, 2.15698, 0, 0.625755, 0.374245, 2.86043, 2.86043, 2.52366, 2.52366
2.57646, -2.51262, 0, 2.57646, -2.51262, 0, 0.713982, 0.286018, 1.77078, 1.77078, 5.28807, 5.28807
-2.41639, -1.03752, 0, -2.41639, -1.03752, 0, 0.672134, 0.327866, 2.73455, 2.73455, 3.18621, 3.18621
-1.94786, -4.9808, 0, -1.94786, -4.9808, 0, 0.17261, 0.82739, 2.51647, 2.51647, 1.38262, 1.38262
-2.95947, -0.705207, 0, -2.95947, -0.705207, 0, 0.598651, 0.401349, 2.12968, 2.12968, 2.07199, 2.07199
-1.37344, 0.871349, 0, -1.37344, 0.871349, 0, 0.637847, 0.362153, 2.00843, 2.00843, 2.44421, 2.44421
-0.618788, -3.61738, 0, -0.618788, -3.61738, 0, 0.764177, 0.235823, 2.83638, 2.83638, 0.579568, 0.579568
0.493513, 3.93548, 0, 0.493513, 3.93548, 0, 0.345146, 0.654854, 2.16626, 2.16626, 3.91398, 3.91398
1.31558, -1.33282, 0, 1.31558, -1.33282, 0, 0.168617, 0.831383, 2.8242, 2.8242, 4.22447, 4.22447
-1.48573, -3.09264, 0, -1.48573, -3.09264, 0, 0.593957, 0.406043, 2.66489, 2.66489, 4.35744, 4.35744
-0.246723, -0.150225, 0, -0.246723, -0.150225, 0, 0.73241, 0.26759, 2.33768, 2.33768, 4.58102, 4.58102
-0.297442, -1.26991, 0, -0.297442, -1.26991, 0, 0.808799, 0.191201, 2.11629, 2.11629, 5.9659, 5.9659
1.07075, -0.275605, 0, 1.07075, -0.275605, 0, 0.905145, 0.0948545, 2.17898, 2.17898, 3.60295, 3.60295
-3.51977, 4.37334, 0, -3.51977, 4.37334, 0, 0.701375, 0.298625, 2.2066, 2.2066, 1.94, 1.94
-3.43707, 0.608037, 0, -3.43707, 0.608037, 0, 0.181613, 0.818387, 1.92891, 1.92891, 2.45354, 2.45354
-0.0917, -1.07133, 0, -0.0917, -1.07133, 0, 0.913726, 0.0862738, 2.17984, 2.17984, 4.58919, 4.58919
-3.16745, 0.456532, 0, -3.16745, 0.456532, 0, 0.579973, 0.420027, 2.58502, 2.58502, 0.779159, 0.779159
0.463188, -0.654132, 0, 0.463188, -0.654132, 0, 0.919082, 0.0809183, 2.38955, 2.38955, 5.55234, 5.55234
-0.883289, 0.418198, 0, -0.883289, 0.418198, 0, 0.923389, 0.0766108, 2.14005, 2.14005, 2.54326, 2.54326
-0.0479554, -1.28272, 0, -0.0479554, -1.28272, 0, 0.854201, 0.145799, 1.78654, 1.78654, 1.88578, 1.88578
0.0513064, -0.127076, 0, 0.0513064, -0.127076, 0, 0.968074, 0.0319262, 2.7911, 2.7911, 5.0924, 5.0924
-0.91221, -0.306749, 0, -0.91221, -0.306749, 0, 0.86968, 0.13032, 2.52673, 2.52673, 3.04392, 3.04392
-0.396772, -0.849124, 0, -0.396772, -0.849124, 0, 0.288785, 0.711215, 2.63335, 2.63335, 4.0203, 4.0203
-0.662222, 6.2453, 0, -0.662222, 6.2453, 0, 0.506553, 0.493447, 1.9952, 1.9952, 0.553783, 0.553783
-1.98698, -0.627325, 0, -1.98698, -0.627325, 0, 0.828136, 0.171864, 2.21294, 2.21294, 3.25732, 3.25732
-1.74017, -0.690935, 0, -1.74017, -0.690935, 0, 0.492101, 0.507899, 2.30224, 2.30224, 5.21096, 5.21096
1.74784, 0.514484, 0, 1.74784, 0.514484, 0, 0.877153, 0.122847, 2.11922, 2.11922, 0.0297867, 0.0297867
0.249153, 2.85856, 0, 0.249153, 2.85856, 0, 0.46519, 0.53481, 2.89956, 2.89956, 0.374363, 0.374363
-7.7509, 3.8871, 0, -7.7509, 3.8871, 0, 0.0010537, 0.998946, 2.54917, 2.54917, 4.93072, 4.93072
-0.0108884, 0.275219, 0, -0.0108884, 0.275219, 0, 0.920683, 0.0793173, 2.60215, 2.60215, 1.69103, 1.69103
