Trajectory index, Trajectory type, X (A), Y (A), Z (A), E (keV), indexRegion, collisionType
44, 3, -2.64468e-008, -4.14094e-009, 4.63447, 9.99541, 0, 5
44, 3, 3.08866, 2.40816, 35.7342, 9.96437, 0, 5
44, 3, 4.75986, 3.35268, 50, 9.95008, 0, 2
44, 3, 4.87597, 3.4183, 50.9911, 9.95008, 0, 3
45, 2, -2.22476e-009, 3.6731e-008, 0, 10, 0, 1
45, 2, -2.22476e-009, 3.6731e-008, 34.7499, 9.96559, 0, 5
45, 2, 20.27, -8.52136, 25.3025, 9.94184, 0, 5
45, 2, 53.4261, -21.4954, 12.7848, 9.90431, 0, 5
45, 2, 62.6868, -25.9842, 8.61708, 9.89324, 0, 5
45, 2, 80.0009, -32.6395, 0, 9.87283, 0, 2
45, 2, 80.8474, -32.9648, -0.421312, 9.87283, 0, 3
46, 3, 4.64762e-008, -1.05794e-008, 0, 10, 0, 1
46, 3, 4.64762e-008, -1.05794e-008, 9.88391, 9.99021, 0, 5
46, 3, -0.315927, 0.6363, 10.307, 9.98939, 0, 5
46, 3, -4.10613, 8.25227, 15.2596, 9.97964, 0, 5
46, 3, -22.0121, 41.2535, 40.432, 9.93482, 0, 5
46, 3, -24.3438, 45.2391, 43.4279, 9.92934, 0, 5
46, 3, -29.7714, 54.4663, 50, 9.91684, 0, 2
46, 3, -30.2035, 55.2009, 50.5232, 9.91684, 0, 3
47, 3, 1.49021e-008, 1.16679e-008, 0, 10, 0, 1
47, 3, 1.49021e-008, 1.16679e-008, 21.9449, 9.97827, 0, 5
47, 3, 2.78173, -0.799193, 50, 9.9503, 0, 2
47, 3, 2.88036, -0.827529, 50.9947, 9.9503, 0, 3
48, 3, -1.08253e-007, -1.41035e-008, 0, 10, 0, 1
48, 3, -1.08253e-007, -1.41035e-008, 21.2113, 9.979, 0, 5
48, 3, -0.233701, -0.148747, 27.7139, 9.97255, 0, 5
48, 3, -1.73862, 3.32933, 46.8956, 9.95315, 0, 5
48, 3, -2.62569, 3.85834, 50, 9.9499, 0, 2
48, 3, -2.89682, 4.02003, 50.9489, 9.9499, 0, 3
49, 3, 1.30695e-007, -2.13648e-008, 0, 10, 0, 1
49, 3, 1.30695e-007, -2.13648e-008, 43.2738, 9.95716, 0, 5
49, 3, 0.753415, 0.111187, 50, 9.95043, 0, 2
49, 3, 0.864715, 0.127612, 50.9937, 9.95043, 0, 3
50, 3, 3.47544e-008, -2.50805e-008, 0, 10, 0, 1
50, 3, 3.47544e-008, -2.50805e-008, 11.1734, 9.98894, 0, 5
50, 3, 0.237705, -0.0511988, 20.2271, 9.97996, 0, 5
50, 3, 0.740246, 1.19945, 48.4836, 9.95191, 0, 5
50, 3, 0.36747, 1.07342, 50, 9.95036, 0, 2
50, 3, 0.129515, 0.992964, 50.9679, 9.95036, 0, 3
51, 3, 1.62658e-008, 2.43736e-008, 0, 10, 0, 1
51, 3, 1.62658e-008, 2.43736e-008, 16.6146, 9.98355, 0, 5
51, 3, 0.0605668, 0.018341, 19.7198, 9.98047, 0, 5
51, 3, 0.896528, -0.327273, 37.6121, 9.96271, 0, 5
51, 3, 1.42436, -0.0677978, 47.0582, 9.95331, 0, 5
51, 3, 1.5672, -0.0294322, 50, 9.95039, 0, 2
51, 3, 1.61569, -0.0164073, 50.9987, 9.95039, 0, 3
52, 3, 6.28095e-008, -1.86768e-008, 0, 10, 0, 1
52, 3, 6.28095e-008, -1.86768e-008, 6.45005, 9.99361, 0, 5
52, 3, -0.0868785, 3.15083, 50, 9.95036, 0, 2
52, 3, -0.0888682, 3.22299, 50.9974, 9.95036, 0, 3
53, 3, 4.13473e-008, -4.65368e-008, 0, 10, 0, 1
53, 3, 4.13473e-008, -4.65368e-008, 17.7705, 9.98241, 0, 5
53, 3, 1.12106, 2.28117, 37.2424, 9.96294, 0, 5
53, 3, 0.920951, 2.3549, 38.7582, 9.96142, 0, 5
53, 3, -0.110909, 2.63228, 45.3472, 9.95479, 0, 5
53, 3, -1.07074, 2.85286, 50, 9.95007, 0, 2
53, 3, -1.27256, 2.89924, 50.9783, 9.95007, 0, 3
54, 3, -7.08125e-008, 1.22548e-008, 0, 10, 0, 1
54, 3, -7.08125e-008, 1.22548e-008, 30.6222, 9.96968, 0, 5
54, 3, -1.61988, 1.00742, 50, 9.95036, 0, 2
54, 3, -1.70308, 1.05915, 50.9952, 9.95036, 0, 3
55, 3, 3.18652e-008, -3.92056e-008, 0, 10, 0, 1
55, 3, 3.18652e-008, -3.92056e-008, 23.1429, 9.97709, 0, 5
55, 3, 2.04315, -0.000269589, 50, 9.95037, 0, 2
55, 3, 2.11901, -0.000279596, 50.9971, 9.95037, 0, 3
56, 3, -1.39364e-008, 2.80538e-008, 0, 10, 0, 1
56, 3, -1.39364e-008, 2.80538e-008, 2.37024, 9.99765, 0, 5
56, 3, 0.312712, 0.810286, 14.9032, 9.98521, 0, 5
56, 3, 0.528294, 1.15613, 18.3629, 9.98176, 0, 5
56, 3, 2.92054, 4.92143, 50, 9.95008, 0, 2
56, 3, 2.99541, 5.03928, 50.9902, 9.95008, 0, 3
57, 3, -7.04214e-008, -4.73467e-008, 0, 10, 0, 1
57, 3, -7.04214e-008, -4.73467e-008, 41.7699, 9.95864, 0, 5
57, 3, 0.942702, 0.00620145, 50, 9.95042, 0, 2
